Player,Gaming Hours,Games Played,Win Percentage,Performance
Lathika,5,20,75,Good
Srimathi,8,35,82,Good
Bhavani,3,15,45,Poor
Hemamalini,6,25,60,Average
Yazhini,10,40,90,Good
Vanthana,4,18,55,Average
Gopika,7,30,70,Good
Meenakshi,9,38,85,Good
Suriya,6,27,68,Good
Priya,5,22,62,Average
Divya,8,34,80,Good
Harini,4,19,52,Average
Keerthana,7,29,72,Good
Nandhini,9,37,88,Good
Swetha,3,14,40,Poor
Aishwarya,6,26,65,Average
Pavithra,10,42,92,Good
Deepika,5,21,58,Average
Anitha,8,33,78,Good
Kaviya,4,17,50,Poor
Sangeetha,7,31,74,Good
Ramya,9,39,86,Good
Monisha,6,24,63,Average
Janani,3,16,43,Poor
Sharmila,5,23,61,Average
Abinaya,8,36,83,Good
Dhivya,10,41,91,Good
Kiruthika,4,20,57,Average
Vishnu,7,28,69,Good
Akshaya,9,35,81,Good
